Year,Rank,Artist,Title
2023,52,Rosalía,Despechá
2023,53,Billie Eilish,What Was I Made For?
2023,54,Bizarrap & Shakira,Bzrp Music Sessions Vol. 53
2023,55,The Weeknd,Die For You
2023,56,Creeds,Push Up
2023,57,Central Cee,Let Go
2023,58,P!nk,Trustfall
2023,59,Dean Lewis,How Do I Say Goodbye
2023,60,Gunna,Fukumean
2023,61,Lost Frequencies / Elley Duhé / X Ambassadors,Back To You
2023,62,Miguel [US],Sure Thing
2023,63,Peggy Gou,(It Goes Like) Nanana
2023,64,Mariah Carey,All I Want For Christmas Is You
2023,65,Taylor Swift,Cruel Summer
2023,66,SIRA / Badchieff / Bausa,9 bis 9
2023,67,Ed Sheeran,Eyes Closed
2023,68,Lana Del Rey,Summertime Sadness
2023,69,Luciano x Aitch x Bia,Bamba
2023,70,Jain,Makeba
2023,71,Wham!,Last Christmas
2023,72,Ricchi & Poveri,Sarà perché ti amo
2023,73,"Karol G, Shakira",TQG
2023,74,Coldplay,Viva la vida
2023,75,Manu Chao,Me gustas tu
2023,76,The Weeknd,Blinding Lights
2023,77,The Weeknd & Madonna feat. Playboi Carti,Popular
2023,78,Eminem,Without Me
2023,79,Purple Disco Machine x Kungs feat. Julian Perretta,Substitution
2023,80,Bad Bunny,Where She Goes
2023,81,Olivia Rodrigo,Vampire
2023,82,Oliver Tree & Robin Schulz,Miss You
2023,83,Calvin Harris / Ellie Goulding,Miracle
2023,84,Ayliva feat. Mero,Sie weiß
2023,85,Stephen Sanchez,Until I Found You
2023,86,RAF Camora / Luciano,All Night
2023,87,SDM,Bolide allemand
2023,88,Victor Thompson x Ehis 'D' Greatest,This Year (Blessings)
2023,89,Lost Frequencies,The Feeling
2023,90,Rihanna,Lift Me Up
2023,91,"Ski Aggu, Joost & Otto Waalkes",Friesenjung
2023,92,Chris Brown,Under The Influence
2023,93,Ayliva,Weißes Haus
2023,94,Imanbek & BYOR,Belly Dancer
2023,95,Tyla,Water
2023,96,Brenda Lee,Rockin' Around The Christmas Tree
2023,97,Victony & Tempoe,Soweto
2023,98,Billie Eilish & Khalid,Lovely
2023,99,Marco Mengoni,Due vite
2023,100,Myke Towers,Lala
